transcription,tp,tn,fp,fn,wv,
Arete,2,44,34,118,0,
Reloj,9,41,15,174,1,
Cadena,17,108,64,50,8,
Gafas,9,115,20,75,9,
Anillo,11,105,37,86,3,
Pollo,14,72,23,89,10,
Pepino,0,0,0,0,0,
Miedo,10,90,60,264,10,
Odio,9,37,62,111,5,
Jugo,0,0,0,0,0,
Leche,9,31,36,122,9,
Limonada,12,53,53,224,3,
Estudiante,43,52,50,115,25,
Conductor,21,92,52,279,2,
Chef,5,28,19,238,0,
Odontólogo,0,0,0,0,0,
Pintor,6,140,32,82,6,
Familia,6,21,113,150,0,
Papá,0,0,0,0,0,
Hermana,10,60,56,257,0,
Abuela,26,62,69,226,4,
Amiga,10,22,44,122,2,
Novia,8,38,49,206,4,
Esposo,0,0,0,0,0,
Nieta,19,39,45,177,11,
Borrador,13,49,67,131,1,
Cuaderno,10,126,46,119,8,
Maletín,0,0,0,0,0,
Baloncesto,19,56,64,305,3,
Voleibol,0,0,0,0,0,
Gimnasio,8,68,74,130,6,
Droguería,0,0,0,0,0,
Trabajo,8,29,86,270,2,
Cocina,14,42,56,168,0,
Ojo,2,132,51,34,2,
Boca,18,32,35,113,0,
Oreja,22,64,50,185,6,
Cabello,17,49,42,254,11,
Manos,4,51,34,109,4,
Piernas,0,0,0,0,0,
Cinco,10,90,66,135,5,
Seis,4,120,27,68,0,
Ocho,24,21,63,213,17,
Cuadrado,72,40,248,84,61,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,1,55,36,229,1,
Arroz,15,58,35,254,0,
Arepa,26,50,54,273,0,
Naranja,9,53,52,125,0,
Mora,8,76,44,111,1,
Banano,9,119,38,114,2,
Lulo,11,51,59,282,4,
Flaco,5,81,61,133,5,
Abajo,1,54,79,187,0,
Lejos,21,72,18,149,0,
Rápido,0,0,0,0,0,
Lento,18,77,36,88,10,
Menor,24,70,48,77,5,
Día del Niño,0,0,0,0,0,
Halloween,5,118,60,118,4,
Día del Profesor,0,0,0,0,0,
Color,3,64,36,157,3,
Verde,1,69,36,195,0,
Naranja,22,17,38,152,0,
Violeta,10,46,44,221,3,
Negro,19,83,54,165,7,
Blanco,9,55,35,243,1,
Jugar,22,39,39,98,7,
Minuto,1,81,82,239,1,
Día,0,0,0,0,0,
Junio,17,86,82,259,14,
Septiembre,13,70,59,251,2,
Lunes,23,87,22,210,17,
Miércoles,0,0,0,0,0,
Viernes,2,23,33,202,0,
Tarde,20,82,41,117,0,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,12,80,63,105,6,
Pantaloneta,27,117,45,131,7,
WhatsApp,18,80,67,238,8,
Gallina,2,15,89,123,2,
Pato,5,37,24,132,5,
Cerdo,28,62,19,274,3,
León,0,0,0,0,0,
Tigre,1,64,25,67,1,
Caballo,9,75,31,42,0,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,10,87,29,236,1,
Oveja,15,89,50,167,1,
Pájaro,0,0,0,0,0,
Jirafa,5,129,101,209,3,
Caracol,9,131,46,115,4,
Moto,5,72,52,90,3,
Aretes,6,45,37,172,1,
Reloj,1,71,24,61,1,
Gafas,0,82,29,149,0,
Pulsera,21,78,72,273,1,
GLOBAL,990,5269,3966,12716,372,0.597445621376575
