transcription,tp,tn,fp,fn,wv,
Arete,11,73,25,89,5,
Reloj,22,81,2,134,0,
Cadena,49,120,32,38,10,
Gafas,21,136,8,54,21,
Anillo,24,116,24,75,8,
Pollo,29,123,8,38,15,
Pepino,0,0,0,0,0,
Miedo,23,127,47,227,14,
Odio,56,68,15,80,42,
Jugo,0,0,0,0,0,
Leche,0,63,45,90,0,
Limonada,50,77,15,200,15,
Estudiante,59,102,34,65,47,
Conductor,69,126,4,245,34,
Chef,6,82,18,184,0,
Odontólogo,0,0,0,0,0,
Pintor,18,147,20,75,5,
Familia,6,46,113,125,0,
Papá,0,0,0,0,0,
Hermana,40,158,26,159,8,
Abuela,48,170,47,118,13,
Amiga,24,46,30,98,4,
Novia,44,53,13,191,22,
Esposo,0,0,0,0,0,
Nieta,40,54,24,162,29,
Borrador,59,95,21,85,13,
Cuaderno,38,146,18,99,14,
Maletín,0,0,0,0,0,
Baloncesto,58,134,25,227,25,
Voleibol,0,0,0,0,0,
Gimnasio,41,125,41,73,11,
Droguería,0,0,0,0,0,
Trabajo,40,101,54,198,25,
Cocina,46,52,24,158,20,
Ojo,12,142,41,24,11,
Boca,26,52,27,93,19,
Oreja,45,91,27,158,32,
Cabello,42,77,17,226,39,
Manos,7,67,31,93,4,
Piernas,0,0,0,0,0,
Cinco,48,116,28,109,35,
Seis,16,128,15,60,0,
Ocho,55,62,32,172,23,
Cuadrado,213,83,107,41,180,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,15,96,22,188,7,
Arroz,50,117,0,195,6,
Arepa,48,90,32,233,8,
Naranja,24,90,37,88,0,
Mora,45,108,7,79,17,
Banano,26,142,21,91,12,
Lulo,38,157,32,176,26,
Flaco,37,127,29,87,36,
Abajo,33,81,47,160,17,
Lejos,35,92,4,129,14,
Rápido,0,0,0,0,0,
Lento,42,125,12,40,29,
Menor,58,83,14,64,20,
Día del Niño,0,0,0,0,0,
Halloween,39,141,26,95,11,
Día del Profesor,0,0,0,0,0,
Color,30,110,9,111,10,
Verde,35,110,2,154,10,
Naranja,31,66,29,103,1,
Violeta,45,76,9,191,8,
Negro,51,128,22,120,28,
Blanco,22,146,22,152,17,
Jugar,34,55,27,82,2,
Minuto,45,116,38,204,20,
Día,0,0,0,0,0,
Junio,44,105,55,240,27,
Septiembre,24,151,48,170,6,
Lunes,30,124,15,173,13,
Miércoles,0,0,0,0,0,
Viernes,3,44,32,181,0,
Tarde,30,113,31,86,3,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,55,102,20,83,41,
Pantaloneta,54,144,18,104,5,
WhatsApp,59,123,26,195,30,
Gallina,6,31,85,107,5,
Pato,9,48,20,121,5,
Cerdo,40,129,7,207,22,
León,0,0,0,0,0,
Tigre,5,73,21,58,1,
Caballo,96,24,30,7,83,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,21,133,18,190,14,
Oveja,39,133,26,123,22,
Pájaro,0,0,0,0,0,
Jirafa,30,163,76,175,12,
Caracol,40,184,15,62,23,
Moto,29,92,28,70,21,
Aretes,25,66,18,151,11,
Reloj,18,88,7,44,8,
Gafas,25,113,4,118,14,
Pulsera,37,121,56,230,7,
GLOBAL,2887,7999,2155,9900,1415,0.557386338869273
