transcription,tp,tn,fp,fn,wv,
Arete,33,102,3,60,0,
Reloj,23,91,1,124,6,
Cadena,58,125,23,33,11,
Gafas,26,143,3,47,7,
Anillo,38,126,10,65,8,
Pollo,32,124,5,37,13,
Pepino,0,0,0,0,0,
Miedo,51,137,19,217,38,
Odio,70,87,1,61,35,
Jugo,0,0,0,0,0,
Leche,36,72,9,81,31,
Limonada,59,96,6,181,12,
Estudiante,88,134,5,33,71,
Conductor,71,163,2,208,22,
Chef,24,131,0,135,0,
Odontólogo,0,0,0,0,0,
Pintor,32,180,6,42,28,
Familia,75,83,44,88,16,
Papá,0,0,0,0,0,
Hermana,58,173,8,144,0,
Abuela,70,185,25,103,14,
Amiga,47,62,7,82,2,
Novia,44,53,13,191,10,
Esposo,0,0,0,0,0,
Nieta,54,73,10,143,37,
Borrador,78,123,2,57,23,
Cuaderno,47,159,9,86,27,
Maletín,0,0,0,0,0,
Baloncesto,75,155,8,206,24,
Voleibol,0,0,0,0,0,
Gimnasio,46,117,36,81,33,
Droguería,0,0,0,0,0,
Trabajo,85,145,9,154,14,
Cocina,46,58,24,152,8,
Ojo,23,155,30,11,2,
Boca,30,48,23,97,1,
Oreja,72,113,0,136,8,
Cabello,47,107,12,196,24,
Manos,26,71,12,89,20,
Piernas,0,0,0,0,0,
Cinco,48,144,28,81,33,
Seis,17,147,14,41,9,
Ocho,67,73,20,161,39,
Cuadrado,255,104,65,20,192,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,29,104,8,180,5,
Arroz,50,134,0,178,0,
Arepa,71,119,9,204,5,
Naranja,48,138,13,40,0,
Mora,45,141,7,46,3,
Banano,36,166,11,67,12,
Lulo,57,169,13,164,22,
Flaco,46,144,20,70,27,
Abajo,76,107,4,134,15,
Lejos,38,98,1,123,5,
Rápido,0,0,0,0,0,
Lento,53,124,1,41,18,
Menor,70,106,2,41,9,
Día del Niño,0,0,0,0,0,
Halloween,56,141,9,95,29,
Día del Profesor,0,0,0,0,0,
Color,37,164,2,57,30,
Verde,25,134,12,130,0,
Naranja,60,77,0,92,0,
Violeta,49,81,5,186,15,
Negro,70,159,3,89,35,
Blanco,29,140,15,158,7,
Jugar,59,77,2,60,20,
Minuto,61,143,22,177,32,
Día,0,0,0,0,0,
Junio,57,133,42,212,42,
Septiembre,71,230,1,91,5,
Lunes,35,130,10,167,31,
Miércoles,0,0,0,0,0,
Viernes,12,58,23,167,9,
Tarde,34,117,27,82,5,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,70,121,5,64,11,
Pantaloneta,62,161,10,87,14,
WhatsApp,57,147,28,171,21,
Gallina,42,42,49,96,23,
Pato,11,63,18,106,10,
Cerdo,46,201,1,135,4,
León,0,0,0,0,0,
Tigre,24,86,2,45,8,
Caballo,111,24,15,7,80,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,33,180,6,143,12,
Oveja,56,157,9,99,4,
Pájaro,0,0,0,0,0,
Jirafa,76,209,30,129,11,
Caracol,53,205,2,41,5,
Moto,38,121,19,41,4,
Aretes,43,115,0,102,0,
Reloj,17,91,8,41,14,
Gafas,28,134,1,97,7,
Pulsera,52,141,41,210,8,
GLOBAL,4044,9591,998,8308,1435,0.538424654548625
